상호명,대표사진1,대표사진2,주소,맛 평점,가격 평점,응대 평점,평균 평점,전화번호,대표 리뷰,카테고리,분위기 태그,메뉴 정보,링크,운영시간
노브랜드버거 한성대입구역점,"<img alt=""노브랜드버거 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250101065409117_menu_7e931ac0bfcf.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""노브랜드버거 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250101065409117_menu_7e931ac0bfcf.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 12,5.0,4.6,4.6,4.73,,포장도 빠르고 저렴한 가격에 만족스러운 퀄리티의 햄버거,"햄버거, 감자튀김",분위기 가성비좋은(2) 이국적/이색적(1) 서민적인(1) 캐주얼한(1) 깔끔한(1)…더보기 지역주민이찾는(1) 시끌벅적한(1),"['시그니처 - 5,000원', '그릴드 불고기 - 3,100원', '오리지널 - 4,100원', 'NBB 어메이징 더블 업 - 6,000원', '미트마니아 - 6,500원']",https://www.diningcode.com/profile.php?rid=5vWFTSnCPIzg,"['목: : 10:00 - 02:50', '금: 영업시간: 10:00 - 02:50', '토: 영업시간: 10:00 - 02:50', '일: 영업시간: 10:00 - 02:50', '월: 영업시간: 10:00 - 02:50', '화: 영업시간: 10:00 - 02:50', '수: 영업시간: 10:00 - 02:50']"
참나무 닭나라,"<img alt=""참나무 닭나라 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250411232108_photo2_Bi8rFB0wZ5Ro.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""참나무 닭나라 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250411232108_photo2_Bi8rFB0wZ5Ro.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울 성북구 동소문동2가 290-2,5.0,4.0,4.3,4.43,02-766-9192,"한성대입구역, 성북천 근처 벚꽃길에 위치한 닭집.
일단 요즘 같은 날씨에 기분 방문하면 기분 째지는 곳.
통닭과 골뱅이 모두 나쁘지 않았음.
.
주차X, 화장실 매장 내 위치(남녀구분)
.
Sebas 재방문지수: ⭐️⭐️⭐️","통닭, 장작구이",분위기 서민적인(5) 숨은맛집(2) 지역주민이찾는(2) 지역주민이 찾는(1) 캐주얼한(1)…더보기,"['장작구이통닭 - 19,000원', '을지로골뱅이 - 33,000원', '노가리(3마리) - 8,000원', '한치+땅콩 - 17,000원', '쥐포 - 4,500원', '황태노가리 - 6,000원', '땅콩한접시 - 5,500원', '두부김치 - 13,000원', '스팸계란후라이 - 15,000원', '아이스황도 - 9,000원', '어묵탕 - 16,000원', '황태계란탕 - 13,000원', '번데기탕 - 9,000원', '모듬마른안주 - 24,000원', '먹태 - 16,000원']",https://www.diningcode.com/profile.php?rid=6YchnEDakBKW,"['목: : 17:30 - 22:00', '금: 영업시간: 17:30 - 22:00', '토: 영업시간: 17:30 - 22:00', '일: 휴무일', '월: 영업시간: 17:30 - 22:00', '화: 영업시간: 17:30 - 22:00', '수: 영업시간: 17:30 - 22:00']"
다복향마라탕 한성대점,"<img alt=""다복향마라탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241123045424_photo2_847a5ef9a3b0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""다복향마라탕 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241123045424_photo2_847a5ef9a3b0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로 26-1,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 서민적인(2) 이국적/이색적(2) 캐주얼한(1) 가성비좋은(1) 푸짐한(1)…더보기 깔끔한(1) 지역주민이찾는(1),"['마라탕 - ', '[1등메뉴] 마라탕/麻辣湯(소(1인~)/麻辣湯) - 11,000원', '1인세트 마라탕+미니꿔바로우+탄산음료택1 - 19,000원', '마라샹궈+미니꿔보러우+탄산 음료 택 1 - 26,000원', '옥수수 콘 소세지 - 1,000원', '미니 유탸오/米妮油条 - 2,000원', '캔 콜라 - 2,000원', '캔 사이다 - 2,000원', '캔 환타 - 2,000원', '캔 펩시제로콜라(355ml) - 2,000원', '캔 코카콜라제로(355ml) - 2,000원', '차파이 - 3,000원', '[1등메뉴] 마라탕/麻辣湯(중(2인~))//麻辣湯) - 18,000원', '빙홍차 - 3,000원', '빙탕쉐리 - 3,000원', '따요우 (중국사이다)(500ml) - 3,000원', '[1등메뉴] 마라탕/麻辣湯(대(3인~)) - 22,000원', '[인기메뉴] 마라샹궈/麻辣香鍋(소(1~2인)/麻辣香鍋) - 18,000원', '[인기메뉴] 마라샹궈/麻辣香鍋(중(2~3인)/麻辣香鍋) - 24,000원', '[인기메뉴] 마라샹궈/麻辣香鍋(대(3~4인)) - 34,000원', '[겉바속촉] 꿔바로우(소) - 12,000원', '[겉바속촉] 꿔바로우(대) - 18,000원', '계란볶음밥/鸡蛋炒饭 - 7,000원']",https://www.diningcode.com/profile.php?rid=7JZfyjpjtRlF,"['목: : 11:00 - 22:00', '금: 영업시간: 11:00 - 22:00', '토: 영업시간: 11:00 - 22:00', '일: 영업시간: 11:00 - 22:00', '월: 영업시간: 11:00 - 22:00', '화: 영업시간: 11:00 - 22:00', '수: 영업시간: 11:00 - 22:00']"
육회란연어다,"<img alt=""육회란연어다 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20230709061937002_photo_69a4d315d09f.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""육회란연어다 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20230709061937002_photo_69a4d315d09f.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 보문로35길 11,5.0,5.0,3.7,4.57,,친구랑 생일 파티 하면서 시켜 먹었는데 너무 맛있었어요:-),"육회, 연어",분위기 캐주얼한(3) 숨은맛집(1) 지역주민이찾는(1) 깔끔한(1) 서민적인(1)…더보기,"['육회덮밥 - 5,900원']",https://www.diningcode.com/profile.php?rid=8WI1k9WHT0CX,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
스타동,"<img alt=""스타동 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220618015004781_photo_496cf1e97205.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""스타동 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220618015004781_photo_496cf1e97205.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로16길 40,5.0,3.0,4.0,4.0,정보없음,리뷰 없음,정보없음,분위기 조용한(1) 지역주민이찾는(1) 숨은맛집(1),"['대표메뉴 믹스가츠동 - 7,900원', '[해장국저리가라]김치가츠나베 - 12,900원', '[침샘자극]김치가츠동 - 11,500원', '[100%자연치즈]치즈가츠동 - 11,500원', '[100%자연치즈]매운가츠동 - 11,900원', '[불맛가득] 규동 - 10,900원', '[제육보다 맛있는] 매운 규동 - 11,400원', '가라아게동 - 10,400원', '[킹성비1등]디럭스동 - 13,900원', '가츠카레동 - 11,400원', '믹스카레동 - 12,400원', '에비카레동 - 10,400원', '[홀매출1위]믹스가츠동 - 11,900원', '가라아게카레동 - 11,400원', '규카레동 - 10,900원', '사케동 (두툼한 연어 덮밥) 7pc - 14,900원', '육사동 - 18,900원', '쯔유사케동 7pc - 15,400원', '육회동 135g (육사시미 덮밥) - 12,400원', '[리얼밥도둑]매운 육회동 135g - 11,400원', '가츠카레우동 - 11,400원', '믹스카레우동 - 12,400원', '규카레우동 - 11,400원', '투카레동 - 12,400원', '가라아케카레우동 - 11,400원', '에비카레우동 (새우튀김2pc) - 10,900원', '소고기우동 - 9,400원', '새우튀김우동 - 8,500원', '김치우동 - 7,500원', '오뎅우동 - 7,500원', '유부우동 - 6,900원', '냉소바 - 7,900원', '돈까스 - 5,500원', '빵왕새우(1개) - 3,400원', '더블사케동 11pc - 19,900원', '빵왕새우(4개) - 11,500원', '연어사시미(8pc) - 15,400원', '생계란(1개) - 500원', '스타강정(닭강정 6pc) - 4,900원', '스타강정(닭강정 12pc) - 9,500원', '치킨가라아게(7p) - 4,900원', '카레(밥에 어울림) - 3,400원', '/////코카콜라(245ml)///// - 1,000원', '/////펩시콜라 제로(355ml)///// - 2,000원', '///// 스프라이트(355ml) ///// - 2,000원', '[가성비1등]가츠가라아게동 - 11,400원', '///// 웰치스(포도)355ml ///// - 1,500원', '///////제로 코카콜라  355ml////// - 2,000원', '김치믹스나베 - 13,900원', '[1등덮밥]가츠동 (돈까스 덮밥) - 10,500원', '[양많은거1등]가츠동 곱빼기 - 13,900원', '에비동 - 9,900원']",https://www.diningcode.com/profile.php?rid=8bxBKZrgjz34,"['목: : 11:20 - 20:30', '금: 영업시간: 11:20 - 20:30', '토: 영업시간: 11:20 - 20:30', '일: 휴무일', '월: 영업시간: 11:20 - 20:30', '화: 영업시간: 11:20 - 20:30', '수: 영업시간: 11:20 - 20:30']"
떡고물 즉석떡볶이,"<img alt=""떡고물 즉석떡볶이 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241215050939_photo2_037d2c39fff6.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""떡고물 즉석떡볶이 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241215050939_photo2_037d2c39fff6.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로10길 33,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 서민적인(2) 가성비좋은(1) 지역주민이 찾는(1) 숨은맛집(1) 캐주얼한(1)…더보기 지역주민이찾는(1),"['토치세트(2인) - 13,000원', '토치세트(3인) - 19,500원', '토치세트(4인) - 26,000원', '매운세트(2인) - 13,000원', '매운세트(3인) - 19,500원']",https://www.diningcode.com/profile.php?rid=92Y9TsakD38z,"['목: : 11:00 - 21:00', '금: 영업시간: 11:00 - 21:00', '토: 영업시간: 11:00 - 21:00', '일: 영업시간: 11:00 - 21:00', '월: 영업시간: 11:00 - 21:00', '화: 영업시간: 11:00 - 21:00', '수: 영업시간: 11:00 - 21:00']"
뽀르께노 스페니쉬 비스트로,"<img alt=""뽀르께노 스페니쉬 비스트로 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250322075717_photo2_68b1a680c534.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""뽀르께노 스페니쉬 비스트로 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250322075717_photo2_68b1a680c534.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 4-21,4.8,4.6,5.0,4.8,정보없음,리뷰 없음,정보없음,분위기 이국적/이색적(8) 예쁜(4) 숨은맛집(2) 캐주얼한(1) 지역주민이찾는(1)…더보기,"['꿀대구 - 17,000원', '뽀르께노식 문어 요리 - 27,000원', '코르크 차지 - 20,000원', '스페인 보틀 와인 - ', '하우스 와인(글래스) - 7,500원', '스페니쉬 칵테일 - 8,000원', '스페인 병맥주 - 8,000원', '숯대구 - 17,000원', '타페나데 버터파스타 - 15,000원', '클래식 초리소 라자나 - 16,000원', '돼지뽈살와인찜 - 18,000원', '감바스 알 삘삘 - 17,000원', '타파스 1개 - 2,500원', '꿀가지튀김 - 9,000원', '멜론꼰하몽 - 12,000원']",https://www.diningcode.com/profile.php?rid=9HWBeBQYsBKf,"['목: : 17:00 - 23:00', '금: 영업시간: 17:00 - 23:00', '토: 영업시간: 12:00 - 23:00', '일: 영업시간: 12:00 - 23:00', '월: 휴무일', '화: 영업시간: 17:00 - 23:00', '수: 영업시간: 17:00 - 23:00']"
삼태기도너츠,,,서울특별시 성북구 삼선교로10길 11,5.0,5.0,5.0,5.0,정보없음,리뷰 없음,정보없음,분위기 서민적인(1) 가성비좋은(1) 지역주민이찾는(1),"['샐러드 - 2,500원', '도너츠3개 - 3,000원', '쫄깃쫄깃 찰꽈배기 - 1,000원', '쫀득쫀득 찹쌀도너츠 - 1,000원', '달콤한 단팥도너츠 - 1,000원', '야채듬뿍 카레고로케 - 1,000원', '삥글삥글햄말이 - 1,000원', '흰앙금생도넛 - 1,000원', '링도넛 - 1,000원', '샐러드빵 - 2,500원']",https://www.diningcode.com/profile.php?rid=A1O5lsVFaPqu,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
안즈나선아 당신생각,"<img alt=""안즈나선아 당신생각 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20211003102049285_photo_15aff1843b38.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""안즈나선아 당신생각 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20211003102049285_photo_15aff1843b38.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 25-3,4.5,3.5,4.5,4.17,,"영화와 드라마에 나왔던 곳이라고해서, 그리고 안가본 식당이라 궁금해서 방문을 해보았습니다. 제가 메뉴를 잘못 골랐던걸까요? 저는 부대찌개와 제육볶음을 시켰는데 부대찌개는 살짝 부대","김치찌개, 부대찌개",분위기 서민적인(3) 캐주얼한(1) 푸짐한(1) 조용한(1) 지역주민이 찾는(1)…더보기,"['찌개와불백 - 21,000원', '부대찌개 - 8,000원', '오징어 철판볶음+계란찜 - 23,000원', '오징어돼지불백 철판볶음 - 26,000원', '돼지불백 - 14,000원', '김치찌개 - 8,000원', '된장찌개 - 8,000원', '부대세트/된장세트/오징어철판계란찜세트 - 20,000원', '오징어불백 철판세트 - 26,000원', '부대찌개+돼지불백 - 21,000원', '된장찌개+돼지불백 - 21,000원', '오징어 철판볶음 - 20,000원']",https://www.diningcode.com/profile.php?rid=Bi1nUsGS5SFb,"['목: : 11:00 - 21:00', '금: 영업시간: 11:00 - 21:00', '토: 영업시간: 11:00 - 21:00', '일: 영업시간: 11:00 - 21:00', '월: 영업시간: 11:00 - 21:00', '화: 영업시간: 11:00 - 21:00', '수: 영업시간: 11:00 - 21:00']"
코너바리,"<img alt=""코너바리 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20210515131317_photo1_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""코너바리 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20210515131317_photo1_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 창경궁로 325,4.0,4.0,3.0,3.67,,삼천원 생맥부터 가성비 와인과 양주까지. 단골들이 득실대는 정감잇고 맛잇는 최고의 동네 바 ^^,"맥주, 술집",분위기 가성비좋은(1) 깔끔한(1) 지역주민이찾는(1),[],https://www.diningcode.com/profile.php?rid=CC2sQBFVft25,"['목: : 18:00 - 01:00', '금: 영업시간: 18:00 - 01:00', '토: 영업시간: 18:00 - 01:00', '일: 영업시간: 18:00 - 00:00', '월: 영업시간: 18:00 - 01:00', '화: 영업시간: 18:00 - 01:00', '수: 영업시간: 18:00 - 01:00']"
호떡이랑붕어랑,"<img alt=""호떡이랑붕어랑 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241220104017111_photo_98d7fe999ba5.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""호떡이랑붕어랑 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20241220104017111_photo_98d7fe999ba5.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로10길 7,5.0,3.0,5.0,4.33,,"기본 팥 슈 말고도 흑임자, 매운맛(김치), 팥크림치즈, 팥고구마 등 맛이 다양해 좋다.
매운맛은 생각보다 더 매콤해 좋았고 흑임자도 많이 안 달고 괜찮았다","붕어빵, 호떡",분위기 서민적인(1) 지역주민이찾는(1),"['씨앗호떡 - 1,500원', '슈크림호떡 - 2,000원', '흑임자호떡 - 2,000원', '인절미호떡 - 2,000원', '콘치즈호떡 - 2,500원']",https://www.diningcode.com/profile.php?rid=CDrlfiFcPnkD,"['목: : 15:00 - 23:00', '금: 영업시간: 15:00 - 23:00', '토: 영업시간: 15:00 - 23:00', '일: 영업시간: 15:00 - 23:00', '월: 휴무일', '화: 영업시간: 15:00 - 23:00', '수: 영업시간: 15:00 - 23:00']"
맛닭꼬 한성대입구역점,"<img alt=""맛닭꼬 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240710065341_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""맛닭꼬 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20240710065341_photo2_3f37281b1da0.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로 30,5.0,4.5,5.0,4.83,,"가성비 최강 치킨 집이네요.
가격대비 맛도 아주 훌륭합니다.
간단히 술한잔하기 더없이 좋은곳.","치킨, 로스트치킨",분위기 가성비좋은(3) 서민적인(2) 시끌벅적한(2) 지역주민이찾는(2) 푸짐한(1)…더보기 캐주얼한(1),"['오리지날 로스트 - 11,900원', '오리지날 현미베이크 - 12,900원', '바베큐 로스트 - 13,900원', '데리갈릭 로스트 - 13,900원', '치즈칠리 로스트 - 13,900원', '깐풍기 로스트 - 13,900원', '두반장 로스트 - 13,900원', '갈비 로스트 - 13,900원', '숯불 로스트 - 13,900원', '로스트 순살 파닭 - 16,900원', '치즈 순살 퐁닭 - 18,900원', '갈릭 현미베이크 - 13,900원', '강정 현미베이크 - 13,900원', '칠리 현미베이크 - 13,900원', '핫소스 현미베이크 - 13,900원', '마라 현미베이크 - 14,900원', '트리플 현미베이크 - 14,900원', '마늘아 현미베이크 - 14,900원', '고추강정 현미베이크 - 14,900원', '파파닭 현미베이크 - 14,900원', '사천 현미베이크 - 14,900원', '치즈 뿌리꼬 현미베이크 - 15,500원', '카레 뿌리꼬 현미베이크 - 15,500원', '어니언 순살 현미베이크 - 18,900원', '참치 순살 현미베이크 - 18,900원', '유린기 순살 현미베이크 - 18,900원', '간장맛닭 후라이드 - 13,900원', '레몬파닭 후라이드 - 14,900원', '마늘맛닭 후라이드 - 14,900원', '마라맛닭 후라이드 - 14,900원', '어니언맛닭 후라이드 - 14,900원', '고추맛닭 후라이드 - 14,900원', '트리플맛닭 후라이드 - 14,900원', '깐풍맛닭 후라이드 - 14,900원', '레드맛닭 후라이드 - 14,900원', '뿌리꼬맛닭 후라이드 - 14,900원']",https://www.diningcode.com/profile.php?rid=CEQfVVonRBsN,"['목: : 15:00 - 02:00', '금: 영업시간: 15:00 - 02:00', '토: 영업시간: 15:00 - 02:00', '일: 영업시간: 15:00 - 02:00', '월: 영업시간: 15:00 - 02:00', '화: 영업시간: 15:00 - 02:00', '수: 영업시간: 15:00 - 02:00']"
배스킨라빈스 한성대입구역,"<img alt=""배스킨라빈스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250505054650147_photo_459709535335.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""배스킨라빈스 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20250505054650147_photo_459709535335.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 3,5.0,3.0,5.0,4.33,정보없음,리뷰 없음,정보없음,분위기 캐주얼한(1),"['싱글레귤러 - 3,900원', '싱글킹 - 4,700원', '더블쥬니어 - 5,100원', '더블레귤러 - 7,300원', '파인트 - 9,800원', '쿼터 - 18,500원', '패밀리 - 26,000원', '하프갤론 - 31,500원']",https://www.diningcode.com/profile.php?rid=CwYwTMqJKkxx,"['목: : 10:00 - 23:00', '금: 영업시간: 10:00 - 23:00', '토: 영업시간: 10:00 - 23:00', '일: 영업시간: 10:00 - 23:00', '월: 영업시간: 10:00 - 23:00', '화: 영업시간: 10:00 - 23:00', '수: 영업시간: 10:00 - 23:00']"
디딤돌,"<img alt=""디딤돌 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220602110745194_photo_0d0f41d0270b.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""디딤돌 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20220602110745194_photo_0d0f41d0270b.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로6길 4-15,5.0,5.0,5.0,5.0,,한성대의 숨겨진 맛집입니다. 밑반찬까지 모두 맛있어요. 할머니 특유의 손맛이 좋습니다.,"닭도리탕, 제육볶음",분위기 숨은맛집(1) 서민적인(1) 푸짐한(1) 지역주민이찾는(1),"['닭도리탕(2~3인) - 18,000원', '제육볶음 - 12,000원', '모듬생선 - 15,000원', '점심특선(알탕+공기밥) - 7,000원']",https://www.diningcode.com/profile.php?rid=EaANdiUGvLz3,"['목: 확인 필요', '금: 확인필요', '토: 확인필요', '일: 확인필요', '월: 확인필요', '화: 확인필요', '수: 확인필요']"
VITA PHO,"<img alt=""VITA PHO 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20231118114603388_photo_168bea41924c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""VITA PHO 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20231118114603388_photo_168bea41924c.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 동소문로 7-3,3.7,3.7,3.7,3.7,,"한성대입구역에 위치한, 작은 베트남쌀국수집입니다. 저는 양지차돌쌀국수와 팟타이, 짜조를 먹었습니다. 새우가 잔뜩 들어간 튀김롤 6개가 나오는데 저는 이게 가장 맛있었고요. 2순위는","쌀국수, 베트남쌀국수",분위기 가성비좋은(1) 서민적인(1) 깔끔한(1),"['양지차돌쌀국수 - 8,000원', '비타쌀국수 - 6,000원', '치킨 팟타이 - 10,000원', '해물 팟타이 - 11,000원', '미니 쌀국수 - 3,000원', '고기토핑 추가 - 3,000원', '곱빼기 - 2,000원', '파인 게살 볶음밥 - 10,000원', '새우 베이컨 볶음밥 - 10,000원', '소고기 볶음밥 - 10,000원', '해물 볶음밥 - 10,000원', '비타 불만두 - 7,000원', '등심쌀국수 - 9,000원', '짜조 - 7,000원', '왕새우 튀김 - 7,000원', '새우링 - 7,000원', '멘보샤 - 15,000원', '비타 윙 &봉 - 15,000원', '분짜 - 15,000원', '치킨 쌀국수 - 9,000원', '해물 쌀국수 - 11,000원', '모둠쌀국수 - 11,000원', '매운 소고기 쌀국수 - 11,000원', '매운 해물 쌀국수 - 11,000원', '매운 치킨 쌀국수 - 11,000원', '팟타이 - 9,000원']",https://www.diningcode.com/profile.php?rid=FhhJCPHKFIQO,"['목: : 11:00 - 21:00', '금: 영업시간: 11:00 - 21:00', '토: 영업시간: 11:00 - 21:00', '일: 휴무일', '월: 영업시간: 11:00 - 21:00', '화: 영업시간: 11:00 - 21:00', '수: 영업시간: 11:00 - 21:00']"
운봉손칼국수,"<img alt=""운봉손칼국수 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20190405_173004.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""운봉손칼국수 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20190405_173004.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 삼선교로16길 35,4.0,4.0,4.0,4.0,,통창으로 들어오는 햇살이 너무 좋았던 카페에요! 디저트도 넘넘 맛있어서 추천해요,"브런치, 파니니",분위기 가성비좋은(2) 서민적인(1),"['손칼국수 - 8,000원', '보쌈정식 - 10,000원', '보쌈 대 - 39,000원', '보쌈 중 - 32,000원', '제육볶음정식 - 10,000원']",https://www.diningcode.com/profile.php?rid=FoyWDMrTYtxo,"['목: : 11:00 - 20:00', '금: 영업시간: 11:00 - 20:00', '토: 영업시간: 11:00 - 20:00', '일: 영업시간: 11:00 - 20:00', '월: 영업시간: 11:00 - 20:00', '화: 영업시간: 11:00 - 20:00', '수: 영업시간: 11:00 - 20:00']"
마구로산,"<img alt=""마구로산 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20191012113550_photo2_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>","<img alt=""마구로산 대표 사진"" class=""scroll-to-photo-section button"" src=""https://d12zq4w4guyljn.cloudfront.net/750_750_20191012113550_photo2_2e6b526c2058.webp"" style=""width:100%; height:100%; object-fit:cover;""/>",서울특별시 성북구 성북로 5-1,5.0,5.0,3.0,4.33,정보없음,리뷰 없음,정보없음,분위기 고급스러운(1) 격식있는(1) 깔끔한(1),"['마 코스(1인) - 30,000원', '구 코스(1인) - 40,000원', '로 코스(1인) - 55,000원', '산 코스(1인) - 75,000원', '스페셜 코스(1인) - 100,000원', '알탕 - 10,000원', '대구탕/지리 - 10,000원', '마구로동 - 13,000원', '참치회정식 (1인) - 20,000원', '특선 회정식(1인) - 30,000원', '참치초밥(12p) - 15,000원', '특선초밥(12p) - 20,000원', '스페셜초밥(12p) - 30,000원', '생대구탕/지리 - 15,000원', '알밥 - 8,000원']",https://www.diningcode.com/profile.php?rid=GpGpJLAreBTl,['목: 오전 11시 30분 - 오후 10']
